name,storename,price
64GB Apple iPad Mini w/ WiFi Tablet (Latest Model),Best Buy,$300
Intel Core i5-10400 2.9GHz Six-Core LGA 1200 Desktop Processor,Best Buy,$150
"Westinghouse WM32DX9019 32"" WQHD 2560 x 1440 2K Resolution 144Hz HDMI DisplayPort AMD FreeSync Technology Flicker-Free Anti-Glare Widescreen Backlit LED Gaming Monitor $239.99",Newegg,$239.99
"(pre-order) Apple 13.3"" MacBook M1 Laptops:Air 16GB 1TB SSD $1499, Pro 8GB 512SSD $1399, 16/512 $1549, 16/1TB SSD $1749 + free s/h",B&H Photo Video,"$1,499"
USB C pd Charger 65W $11.15,Amazon,$11.15
Rosewill Zircon T ATX Mid Tower Case + Rosewill Arc 450W Power Supply,Amazon,$61.25
HP Pavilion 15 - Ryzen 7 4700u/8GB/128GB/1080p (Previous BF SD - slightly higher price) $439.99,HP,$439.99
Samsung Galaxy Tab S5e 128GB - $279.99 @ RCWilley,R.C. Willey,$279.99
"EVOO 15"" Gaming Laptop: 1080p 144Hz, i7-9750H, 16GB RAM, 512GB SSD, GTX 1660 Ti $799 + Free Shipping @ Walmart",Walmart,$799
Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Silver $150,Amazon,$150
"23"" HP 23er 1920x1080 IPS LED Monitor + Wireless Keyboard & Mouse 300",HP,$105.40
"VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - DVI, HDMI, DisplayPort Graphics Card - 901316 $189.99",Dell Technologies,$189.99
Crucial 16GB (2 x 8GB) 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model CT2K8G4SFRA32A $47.99,Newegg,$47.99
Datacolor SpyderX Photo Kit with SpyderX Elite Monitor Calibration ($199) + Free Shipping,B&H Photo Video,$199
Lenovo IdeaPad S340 Laptop 15.6 Screen Intel Core i7 8GB Memory 256GB Solid State Drive Windows 10 81VW00FTUS - $499,Office Depot and OfficeMax,$499
"Lenovo ThinkBook 14 laptop: 14'' FHD IPS 1080p, i5-10210U, 8GB DDR4, 256GB SSD, Win10 Pro $499.99",Office Depot and OfficeMax,$499.99
12-Month Nintendo Switch Online Family Membership + 128GB SanDisk microSDXC Card,Best Buy,$35
QNAP TS-253D 2-Bay NAS Enclosure $289 + free s/h,B&H Photo Video,$289
"HP 15.6"" Touchscreen Laptop with Windows 10 S Mode, 256GB SSD storage, Intel Core i3 10th Gen processor, Natural Silver (15-dy1025nr) $300",Target,$300
SanDisk Ultra  2TB Internal SSD - SATA III - Amazon $179.99,Amazon,$179.99
Crucial Ballistix RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM 3200 (PC4 25600) Desktop Memory - $63.99 AC,Newegg,$59.99
Crucial MX500 2TB 3D NAND SATA 2.5 Inch Internal SSD $189.99,Amazon,$189.99
"MAINGEAR VYBE - Ryzen 5600X and AMD Wraith Cooler, GeForce RTX™ 3070, 16GB DDR4 RAM, 512 GB Intel NVMe plus 1TB HDD - $1,599 $1599",,"$1,599"
"USB C Hub, 9-in-1 USB C Adapter with 4K USB C to HDMI,VGA, USB C Charging, 2 USB 3.0, SD/TF Card Reader, USB C to 3.5mm, Gigabit Ethernet  $23.99",Amazon,$23.99
"Gateway Creator Series 15.6"" FHD Performance Notebook, Intel i5-10300H, NVIDIA 2060 RTX $699",Walmart,$699
3-Pack TP-Link Deco M9 Plus AC2200 Smart Home Mesh Wi-Fi System (Refurb),B&H Photo Video,$135
"HP Chromebook 14: 1366 x 768 ""HD"" Touchscreen, 32GB, 4GB RAM, AMD Dual-Core A4 $129.99 + Free Shipping @ Target",Target,$129.99
"LG 34WL550-B 34"" 21:9 UltraWide FreeSync HDR10 IPS Monitor $250",B&H Photo Video,$250
